"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Mason City, IA","32380",2021,30,30,0,0,0,0,0,31,24,16,0,0,0,0,0,30
"McAlester, OK","32540",2021,120,78,41,1,0,0,0,117,64,45,0,0,59,0,61,0
"Memphis, TN-MS-AR","32820",2021,90,72,18,0,0,0,0,83,60,37,0,3,45,0,42,0
"Merced, CA","32900",2021,2,2,0,0,0,0,0,18,18,18,0,0,0,0,0,2
"Meridian, MS","32940",2021,31,31,0,0,0,0,0,49,44,33,0,0,31,0,0,0
"Michigan City-La Porte, IN","33140",2021,90,80,10,0,0,0,0,72,51,35,0,0,77,0,13,0
"Milwaukee-Waukesha-West Allis, WI","33340",2021,10,7,3,0,0,0,0,66,66,47,0,0,0,0,10,0
"Minot, ND","33500",2021,59,54,5,0,0,0,0,68,48,30,0,1,40,0,18,0
"Missoula, MT","33540",2021,31,6,23,2,0,0,0,104,91,65,0,0,2,0,29,0
"Modesto, CA","33700",2021,2,2,0,0,0,0,0,22,22,22,0,0,0,0,0,2
"Monroe, LA","33740",2021,72,72,0,0,0,0,0,50,44,31,0,0,72,0,0,0
"Monroe, MI","33780",2021,15,14,1,0,0,0,0,51,31,16,0,0,0,0,0,15
"Morehead City, NC","33980",2021,54,54,0,0,0,0,0,49,41,33,0,0,54,0,0,0
"Morgantown, WV","34060",2021,89,88,1,0,0,0,0,67,44,3,0,0,30,59,0,0
"Moses Lake, WA","34180",2021,31,30,1,0,0,0,0,51,35,24,0,0,0,0,31,0
"Mount Vernon, IL","34500",2021,90,75,15,0,0,0,0,68,55,37,0,0,28,0,62,0
"Mount Vernon-Anacortes, WA","34580",2021,28,28,0,0,0,0,0,48,46,20,0,0,0,0,28,0
